Grant Name,Administering Body,Grant Purpose,Application Deadline,Funding Amount,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
American Australian Association Graduate Education Fund,American Australian Association,"Provide financial support to American and Australian individuals pursuing innovative Master's, Ph.D., or Postdoctoral study and research in each other's countries",Australia to USA: January 1 - March 31; USA to Australia: August 1 - September 30,"Up to US$40,000 per scholarship",None specified,Australian and Indigenous Australian individuals undertaking full-time graduate-level study at an accredited US educational institution,"Academic excellence, innovation potential, and contribution to global challenges",Moderate - online application with academic and research focus,https://www.americanaustralian.org/,Moderate
AMP Tomorrow Makers SPARK Program 2025,"AMP Foundation, Australia","Support social enterprises and impact projects addressing community challenges (health, education, environment) through funding and 18-week incubation/acceleration program",Applications typically open early 2025 (exact dates TBA),"Grant up to AUD $20,000 each plus full participation in 18-week workshop/mentoring program",No formal matching; participants must commit to program attendance and demonstrate dedication,"Open to individuals or teams developing new social enterprises or scaling existing ones. No restrictions on sector or age, projects must aim for positive social/environmental impact","Panel selection based on creativity, viability and impact potential of social innovation","Moderate - online application with draft project plan, subsequent intensive program",https://www.amp.com.au/,Moderate
ANDHealth+ Digital Health Accelerator Fund,ANDHealth,Support digital health startup commercialization,Ongoing cohort applications,Two-stage funding with project support,Company equity/commitment,Digital health startups and scale-ups,"Commercial viability, health impact, team capability",Moderate - requires business plan and pitch,https://www.andhealth.com.au/,Moderate
Auckland Medical Research Foundation Project Grants,Auckland Medical Research Foundation (AMRF),Supports high-quality medical research projects and emerging researchers in Auckland and Northland regions,Annual rounds; Q&A sessions early 2026,"Up to NZD $180,000 (approx. AUD $164,000)",Not specified,Principal investigator affiliated with host institution in Auckland/Northland; international co-applicants permitted,"Research quality, emerging researcher development, regional focus",Moderate,https://www.medicalresearch.org.nz/grants,Moderate
auDA Community Grant Program 2025,"auDA Foundation, Australia","Fund community-led projects using internet and ICT to benefit under-served Australians, focusing on digital inclusion and innovation for rural/remote, disabled, Indigenous, elderly (65+) and youth (12-24)",1 September 2025 (5pm AEST),"Up to 15 grants at AUD $50,000 each for community projects (1-year duration), total pool $750,000","No formal co-funding required (grants fully funded by auDA), but projects should demonstrate in-kind contributions where possible",ACNC-registered not-for-profit organizations and research institutions in Australia. Projects must clearly benefit at least one priority group,"Reviewed by auDA Public Benefit Committee on community impact, innovation in internet use, alignment with digital inclusion goals","Moderate - straightforward online application, no preliminary EOI required",https://www.auda.org.au/,Moderate
ACSES Small Grants 2025,Australian Centre for Student Equity and Success,"Support applied research projects addressing equity and student success in Australian higher education, aligned with University Accord priorities (social inclusion, supporting first-gen students)",2-Jul-25,"Up to 10 grants of up to AUD $50,000 each (ex. GST), typically one-year projects",None specified (grant covers all direct costs),"Australian-based researchers and practitioners (academics, university staff, NGOs) experienced in higher-ed studies, proposing research on equity challenges. Collaborative and interdisciplinary proposals encouraged","Merit-based competitive review by ACSES board on relevance to equity issues, methodological rigor, and potential policy impact","Moderate - online application with project plan and budget, clear aims addressing national equity priorities",https://www.acses.org.au/,Moderate
Australian Department of Education - National Priority Pool Program,Australian Department of Education,"Address national education priorities, support disadvantaged students, and improve teaching quality and educational outcomes across Australia","Specific calls, various dates","Varies by call, typically AUD $100,000 - $1M+ for 1-3 years","Not explicitly stated, may vary by call","Australian education providers, research institutions, and non-profit organizations","Alignment with national priorities, project merit, capacity to deliver, and value for money",Moderate - requires detailed project plans and clear methodologies for achieving educational outcomes,https://www.education.gov.au/national-priority-pool-program,Moderate
Entrepreneurs' Programme - Accelerating Commercialisation,"Australian Department of Industry, Science and Resources","Provide matched funding to Australian SMEs and startups to commercialize novel products, processes, or services",Continuous applications,"AUD $50,000 - $1M (matched funding), typically 1-2 years",Mandatory matched funding (cash) from the applicant,"Australian SMEs or startups with a novel product, process, or service, and a clear commercialization plan","Commercialization potential, market opportunity, management capability, and financial viability",Complex - requires strong business case and commercialization pathway,https://business.gov.au/grants-and-programs/accelerating-commercialisation,Complex
AustCyber Projects Fund,Australian Federal Government - Cyber Security Growth Network (AustCyber),"Grow Australia's cyber security industry by supporting innovative projects that enhance cyber capabilities, foster collaboration, and drive industry growth","Specific calls, various dates","AUD $50,000 - $500,000 for 1-2 years",Mandatory co-contribution (cash or in-kind),"Australian organizations (companies, research institutions) with projects focused on cyber security innovation and growth","Alignment with national cyber security strategy, potential for industry growth, innovation, and collaboration",Moderate - requires alignment with national cyber security strategies,https://www.austcyber.com/our-work/projects-fund,Moderate
CRC Grants -- Round 26,Australian Government CRC Program,"Fund large-scale, long-term (up to 10-year) industry-led research collaborations to solve industry-identified problems and boost competitiveness and productivity in Australia","Stage 2 applications anticipated August-September 2025, final outcomes expected early 2026","Government pays up to 50% of eligible project costs (no fixed per-project cap), typically multi-million dollar grants over multiple years",Mandatory matching of at least 50% from industry and/or research partners (cash or in-kind),Consortium with ≥3 Australian industry organisations (for-profit SMEs or larger) and ≥2 Australian research organisations. CRC becomes incorporated company,"Alignment to government priorities, industry need, research excellence, training programs, SME participation. Final approval by Government Minister","Very high - multi-stage, highly competitive, requiring detailed collaboration agreements, governance plans and business cases",https://www.industry.gov.au/funding-and-incentives/cooperative-research-centres-programme,Very Complex
CRC-P Grants -- Round 18,Australian Government CRC Program,"Support short-term (up to 3 years) industry-led R&D projects that develop new technologies, products or services, driving innovation in SMEs through applied research and education/training","Expected to open in late 2025 (second half), exact dates TBA","Matched grants between AUD $100,000 and $3,000,000 (exclusive of GST) for projects ≤3 years",Applicants must match the grant funding 1:1 via their own cash or in-kind contributions,"Lead applicant must be Australian SME (registered trading corporation with ABN), must include ≥2 other Australian industry partners and ≥1 Australian research organisation","Competitive peer review evaluating innovation, feasibility, industry benefit, SME involvement, and planned outcomes/impact","High - two-stage EOI and application process, requires detailed project planning, budgeting and collaboration agreements",https://www.industry.gov.au/funding-and-incentives/cooperative-research-centres-programme,Complex
MRFF 2025 Cardiovascular Health Grant Opportunity (GO7554),Australian Government Department of Health,Cardiovascular Health Mission research addressing unmet clinical needs,"13 August 2025, 5:00pm","Up to $2.5 million per project, 3-5 years duration",Not specified,"Eligible organisations including universities, research institutes, hospitals","Scientific excellence, research impact, translation potential","Complex - requires detailed research plan, budget, ethics approvals",https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 Genomics Health Futures,Australian Government Department of Health,Advance genomics research for health outcomes,4-Feb-26,Variable amounts available,Not specified,Australian research organisations,Scientific excellence and health impact,Complex - detailed genomics research proposal required,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
Health Workforce Scholarship Program (HWSP),Australian Government Department of Health,Upskilling health professionals in rural and remote areas through scholarships and bursaries,Round 1 2025-26: 01/07/2025 - 12/08/2025 (Multiple rounds annually),"Up to $10,000 per financial year (Scholarships: up to 2 years)",Return of service obligations apply,"Medical, nursing, midwifery, allied health, dental, and Aboriginal health professionals in MMM 3-7 locations","Community health needs alignment, local priorities from Health Workforce Needs Assessment",Moderate - requires demonstration of community benefit and service commitments,https://www.hwsp.com.au,Moderate
Business Research and Innovation Initiative (BRII),Australian Government Department of Industry,Government challenge-based innovation,No current rounds open,"Phase 1: Up to $100,000 feasibility; Phase 2: Up to $1 million development",Varies by challenge,Australian businesses responding to government challenges,Challenge-specific requirements and innovation potential,Complex - challenge-specific requirements,https://business.gov.au/,Complex
ARENA - Advancing Renewables Program,Australian Renewable Energy Agency (ARENA),"Accelerate innovation, commercialization, and deployment of renewable energy technologies and solutions in Australia",Open/Continuous applications,"Varies, typically up to 50% of eligible project costs, for 1-5 years",Significant mandatory co-contribution from the applicant,"Australian-based organizations (companies, research institutions, government bodies) undertaking renewable energy projects","Project merit, technical and commercial feasibility, market impact, and contribution to ARENA's investment priorities","Complex - requires detailed technical, financial, and commercial proposals",https://arena.gov.au/funding/advancing-renewables-program/,Complex
ARC Discovery Early Career Researcher Award (DE27),Australian Research Council (ARC),Support early career researchers 2-8 years post-PhD,28 January - 11 March 2026,Variable funding for 3-4 years,None required,Early career researchers 2-8 years post-PhD,Research potential and career development,Moderate to Complex,https://www.arc.gov.au/,Complex
ARC Discovery Projects 2027,Australian Research Council (ARC),Support excellent research across all disciplines (excluding clinical medicine),Expression of Interest: 3 November - 12 December 2025,"$30,000-$500,000 per year for up to 5 years","None required, but encouraged","Australian researchers, strong track record required","Project quality (45%), investigator capability (30%), research benefit (25%)",Complex - multi-stage process with EOI and full application (47.3% success rate),https://www.arc.gov.au/funding-research/funding-schemes,Complex
ARC Future Fellowships (FT26),Australian Research Council (ARC),Support mid-career researchers to develop research leadership,24 September - 5 November 2025,Up to 4 years salary support plus research funding,None required,Mid-career researchers with leadership potential,Career development focus with research program evaluation,Complex - career development focus with research program,https://www.arc.gov.au/,Complex
ARC Linkage Projects (LP26),Australian Research Council (ARC),Industry-university collaboration,14 January - 18 March 2026,"Variable, requires industry partner contribution",Minimum 1:1 cash/in-kind from industry partners,Australian universities with established industry partnerships,Industry collaboration strength and research excellence,Complex - requires established industry partnerships,https://www.arc.gov.au/,Complex
Australian Sports Commission Research Grant,Australian Sports Commission,Sports science research aligned with National Sport Research Agenda,20 January - 28 February 2025,"$100,000 total budget for 12 months",Not specified,Australian universities and research organizations,Alignment with National Sport Research Agenda,Moderate,https://www.ausport.gov.au/grants_and_funding/asc-research-grant-program,Moderate
Research & Development Tax Incentive,"Australian Taxation Office (ATO) and Department of Industry, Science and Resources",Tax offset for eligible R&D activities,Annual claims with tax returns,43.5% refundable offset (<$20M turnover); 38.5% non-refundable offset (≥$20M turnover),"Company's own R&D expenditure (minimum $20,000)","Australian companies conducting eligible R&D (excludes gambling and tobacco from July 1, 2025)",R&D eligibility and technical documentation requirements,Moderate - requires detailed technical documentation,https://business.gov.au/grants-and-programs/research-and-development-tax-incentive,Moderate
Research and Development Tax Incentive (R&DTI) 2025,"Australian Taxation Office (ATO) and Department of Industry, Science and Resources",Provides tax offsets to encourage companies to invest in eligible R&D activities in Australia,Ongoing; registration within 10 months of income year end,43.5% refundable offset (<$20M turnover); 38.5% non-refundable offset (≥$20M turnover),"Minimum $20,000 annual R&D expenditure",Incorporated company in Australia conducting eligible R&D activities,Self-assessment with compliance checks before and after registration,Moderate to Complex,https://business.gov.au/Grants-and-Programs/Research-and-Development-Tax-Incentive,Complex
Gates Foundation Grand Challenges in Global Health,Bill & Melinda Gates Foundation,"Supports breakthrough solutions to global health challenges through open calls across AI, equity, maternal health, infectious diseases",Rolling applications,"USD $100,000-$1,000,000+ (AUD $150,000-$1,500,000+)",Not specified,Global eligibility; Australian institutions eligible,"Innovation, global health impact, breakthrough potential",Moderate to Complex,https://www.gatesfoundation.org/ideas/articles/grand-challenges-grants-twenty-years,Complex
R&D Career Grants,"Callaghan Innovation, New Zealand",Encourage innovative NZ businesses to hire and upskill recent STEM graduates by subsidising graduate salaries for genuine R&D positions,Open year-round with no fixed close date,"Covers first 6 months' salary: up to NZD $30,000 + GST for master's graduate; up to NZD $35,000 + GST for PhD graduate",Business pays graduate's salary normally; grant reimburses the capped portion,"NZ-incorporated company with active R&D program hiring recent MSc/PhD in relevant field (science, engineering, design, etc.)",Ongoing enrollment basis provided eligibility and due diligence criteria are met,"Simple - application via Callaghan's online portal, first-come basis with staff support",https://www.callaghaninnovation.govt.nz/,
Cancer Australia Research Initiative - Early-Onset Cancer 2025 (GO7773),"Cancer Australia (CARI), co-funded with NHMRC",Supports research to enhance understanding of early-onset cancer and develop novel clinical approaches,Minimum data: 27 August 2025; Full application: 10 September 2025,"Total available: $7,000,000 AUD",Not specified,NHMRC-approved Administering Institutions; translational potential and workforce capacity building required,"Translational potential, workforce development, alignment with Australian Cancer Plan",Complex,https://www.nhmrc.gov.au/funding/find-funding/cancer-australia-research-initiative-targeted-call-research-early-onset-cancer-2025,Complex
Cancer Council NSW Project Grants 2026,Cancer Council New South Wales,Support cancer research across all aspects of cancer,Project Grants commencing April 2026,Up to 3 years funding (amounts not specified),Host organization support,"Australian researchers, cancer research focus","Scientific excellence, cancer relevance, feasibility",Complex - requires detailed research methodology,https://www.cancercouncil.com.au/,Complex
Cancer Institute NSW Equipment Grants,Cancer Institute NSW,Cancer research equipment for SPHERE members,EOI: 13 May 2025 (12pm); Full Application: 26 May 2025,"Up to $600,000 per application for 12 months",Institutional endorsement required,SPHERE member institutions,Equipment need and cancer research impact,Complex - institutional endorsement required,https://www.cancerinstitute.org.au/,Complex
Chan Zuckerberg Initiative,Chan Zuckerberg Initiative,"Biomedical data analysis, open source software development",Multiple rolling programs,"Typically $200,000 - $500,000 for 2-3 years",Varies by program,Global researchers (Recent Australian Awards: University of Sydney scientists received ~$1M),Innovation in biomedical data and open source contribution,Competitive international process,https://chanzuckerberg.com/,
Mary McConnel Career Boost Program for Women in Paediatric Research,"Children's Hospital Foundation, Queensland",Support outstanding female clinician-researchers (pre-PhD to mid-career) in Queensland with financial assistance and mentoring,16 April 2025 (closed),"Unspecified ""financial assistance"" (likely salary top-up or project funding, likely >$10k) for up to 1-2 years",No co-funding required,Female CHQ-employed researchers at early/mid careers,Review by CHQ research office/foundation,Moderate - letter and support letters required,https://childrens.org.au/,Moderate
CSIRO Kick-Start Program,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Support Australian SMEs by providing access to CSIRO's research expertise and facilities for R&D projects,Continuous applications,"Up to AUD $50,000 for 3-12 months",Mandatory matched funding (cash or in-kind) from the SME,Australian SMEs (less than AUD $100M turnover) partnering with CSIRO,"Innovation potential, technical feasibility, market opportunity, and collaboration plan with CSIRO",Simple to Moderate - streamlined to encourage SME participation,https://www.csiro.au/en/work-with-us/for-business/csiro-kick-start,Moderate
SA Rural Health Innovation Fund Grants Round 3,Country SA PHN,Support innovative health projects in rural SA communities,28 April 2025 (Round 3 closed),Variable amounts for community-based programs,Community/organization support,Rural SA organizations and community groups,"Community benefit, innovation, sustainability",Simple to Moderate - community-focused,https://www.countrysaphn.com.au/rural-health-innovation-fund-grants/,Moderate
Australia's Economic Accelerator (AEA) 2025,Department of Education,Accelerates commercialisation of university research through Ignite (proof-of-concept) and Innovate (proof-of-scale) streams,Rolling applications; second round currently open,"Ignite: $50,000-$500,000; Innovate: $250,000-$5,000,000",Varies by stream; industry matching encouraged,Australian universities and eligible research institutions,"Translation potential, industry partnerships, scalable technologies",Complex,https://www.aea.gov.au/,Complex
MRFF 2025 Research Data Infrastructure,Department of Health and Aged Care,Funds creation or extension of national research data infrastructure to support world-class health and medical research,Opens: 14 August 2025; Closes: 11 December 2025,"Up to $2,500,000 per project (potentially up to $5,000,000)",25-50% cash/in-kind expected,MRFF Eligible Organisations,"Novel methods, AI application, healthcare delivery improvement, unmet medical needs",Complex,https://business.gov.au/grants-and-programs/mrff-2025-research-data-infrastructure,Complex
Lottery Health Research Fund,"Department of Internal Affairs, New Zealand","Support NZ health research projects, shared equipment purchases, post-doc fellowships and PhD scholarships to improve NZ health outcomes",27-Aug-25,"Variable (no strict max, but typically small-medium grants)",Not required (full cost up to budget submitted),"Eligible NZ organisations (not individuals; universities, NGOs) with noted eligibility restrictions",Lottery Grants Board criteria (alignment to NZ health priorities),Moderate - short proposal and budget,https://www.communitymatters.govt.nz/,Moderate
Western Australia -- Innovations in Personalised Medicine Program,FHRI Fund & The Hospital Research Foundation,"Fund projects advancing precision medicine in cancer, CVD, neurodegeneration",To open later in 2025 (call not yet released),"FHRI $1.5M matched by THRF, likely multiple grants up to $100k-300k each",FHRI/THRF co-funding structure,WA researchers/institutions,Selection by committee; co-design emphasis,Moderate-High - proposal required,https://fhrifund.health.wa.gov.au/,Complex
GHD Foundation STEAM Education Innovation Grants 2025,GHD Foundation/Australian Communities Foundation,"Accelerate novel STEAM education initiatives for youth (ages 8-26) including tertiary scholarships for underrepresented groups, teacher capacity-building in STEAM (especially rural/remote), and in-school STEAM programs",Full applications due 6 June 2025 (11:59pm AEST) for shortlisted applicants,"Five grants of up to AUD $75,000 each, typically 1-year projects","Grant covers full budget, no matching required (additional funds encouraged but not mandatory)","DGR-1 endorsed charities (or auspiced by one) in Australia, operating in STEAM education or youth development. Schools and unendorsed groups may apply via auspice","Two-stage review evaluating innovation, scalability, impact on STEAM access for diverse youth. Final selection by foundation trustees",High - multi-stage (EOI + full application) with template forms and budget workbook,https://www.ghdfoundation.org.au/,Complex
Gilead Australia Community Grants Program,Gilead Sciences,"Fund innovative patient- and community-led projects improving health access, removing barriers, advancing education/support in HIV, liver disease, metastatic breast cancer, blood cancer",Round 2 expected September 2025,"Up to $50,000 per grant from total of $150,000",Not required (grants cover project costs),Australian not-for-profit (patient/community organisations),Program staff review/panel per cycle guidelines,Moderate - online application,https://www.gilead.com/en-au/,Moderate
Global Innovation Fund (GIF),Global Innovation Fund,Support innovations designed to benefit individuals living on less than $5 per day in developing countries,Continuous applications,"Pilot Tier: up to USD $230,000; Test and Transition Tier: varies",Varies by program,Any type of organization from any country if innovation targets people living on less than $5 per day in developing countries,"Innovation potential, impact on target beneficiaries, scalability, and evidence base",Moderate - requires clear development context and impact pathway,https://www.globalinnovation.fund/,Moderate
Google Australia - AI for Social Good Grants,Google Australia,"Leverage artificial intelligence (AI) technology for societal benefit, with a focus on areas like education, health, and environmental sustainability","Specific calls, typically annual","AUD $100,000 - $500,000 for 1-2 years","Not explicitly stated, but leveraging existing resources is beneficial","Australian non-profit organizations, research institutions, and social enterprises with AI-driven projects","Technical feasibility of AI solution, potential for social impact, scalability, and team capability",Moderate - requires clear technical proposal and social impact plan,https://blog.google/around-the-globe/google-asia-pacific/australia/ai-for-social-good-grants/,Moderate
WA Local Capability Fund - Digital Transformation Round,Government of Western Australia,Support businesses to adopt digital and data technology,Ongoing applications,"Stream 1: up to $25,000 (50% co-funding); Stream 2: up to $50,000 (50% co-funding)",50% of eligible costs,"WA SMEs with 3+ years operation, $500k+ turnover, <200 employees",Digital transformation potential and business case,Moderate - requires business case and quotes,https://www.wa.gov.au/,Moderate
Grand Challenges Canada (GCC),Grand Challenges Canada,Find and support innovative solutions for global health and development problems,"Rolling basis for various programs (e.g., Play Learn Thrive TTS: August 21 & November 27, 2025)","Proof-of-Concept: up to CAD $250,000; Transition-to-Scale: CAD $300,000-$1,500,000",Preferred for POC; encouraged (1:1 cash match) for TTS,"Lead applicant must be in-country for specific programs (Kenya, Uganda, Lebanon, Jordan for Play Learn Thrive); Australian organizations can partner","Innovation, global health impact, feasibility, and local partnership",Complex - requires strong in-country partnerships and development focus,https://www.grandchallenges.ca/,Complex
GSK Australia Award for Research Excellence,GSK Australia,Recognize and support outstanding Australian medical research,Annual - specific dates vary,"$100,000 AUD",None specified,Australian medical researchers with exceptional contributions,"Research excellence, impact, innovation",Moderate - prestigious award with competitive selection,https://au.gsk.com/en-au/innovation/gsk-australia-award-for-research-excellence/,Moderate
HCF Research Foundation Grants,HCF Research Foundation,Health services research and translational research,EOIs closed for current round,Variable amounts,Not specified,"Australian researchers focused on healthcare quality, efficiency, and equity",Healthcare improvement potential and research excellence,Moderate - EOI then full application process,https://www.hcf.com.au/,Moderate
Health and Wellbeing Queensland Community Grants 2025,Health and Wellbeing Queensland,Support community-led health and wellbeing projects,"29 July 2025, 2:00pm AEST","$5,000-$20,000 per grant (total pool $400,000)",Not specified,"Queensland not-for-profit organizations, schools, local government","Health impact, community engagement, sustainability",Simple to Moderate - community-focused applications,https://hw.qld.gov.au/grants/2025-health-and-wellbeing-community-grants/,Moderate
